"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"5","El más completo de España, he estado en parques de atracciones similares en España y me parece el mejor, voy todos los años y no me canso. La única pega son las colas tan largas que te ""obligan"" a comprar el fast pass.","25 de octubre de 2019","El mejor de España",5
"7","Nuestro segundo parque favorito después de Disney.Era la segunda vez que veníamos pero esta vez más días,ya que la otra vez fuimos uno en verano y no nos dio tiempo a todo,asique esta vez cogimos para tres días y ver los dos parques.La decoración de...Más","22 de octubre de 2019","Nos encanta!!",5
"8","Brutal!! En mi opinión el mejor parque de atracciones de España! Dragon Khan,  Shambala... Tiene atracciones espectaculares. 
Si estás en Cataluña tienes que visitarlo. 
El precio?  Pagué la entrada de dos días por 61 euros,  pero buscando descuentos puedes conseguir algo más económico. 
Cuándo ir?...Más","21 de octubre de 2019","Portaventura",5
"10","El parque de 10 como siempre si vas entre semana. El sábado ofrecen la isla maldita en el parque acuático. Le han puesto decorados y 10€ la entrada. Los horarios son al añochecer. ,2.30h de cola y eso que te fdan un horario para entrar....Más","20 de octubre de 2019","La isla maldita un engaño",5
"15","Buenos dias! Este mes he sentido lo que en ningún otro parque he sentido,impotencia,rabia,discriminación,y muy poca empatía entre otras cosas,tengo una discapacidad del 39% con la targeta acreditativa que te da la generalitat,entre otras cosas para poder demostrar,sin tener que llevar encima papeles(privados y personales)que...Más","18 de octubre de 2019","Si tienes discapacidad,no vayais!!",5
"17","Cogimos la oferta de la web de dos dias en el parque mas hotel y muy bien de precio!
Con lo que pudimos ahorrar cogimos la speedypass que nos mereció mucho la pena ya que con la cantidad de atracciones que hay te daba tiempo...Más","16 de octubre de 2019","Super parque!",5
"18","Ha sido precioso,temática muy detallista,espectáculos preciosos,comida cara para lo que es,colas muy largas los fines de semana,pero deseando volver para navidad,es un cuento de hadas","16 de octubre de 2019","Precioso haloween",5
"20","Somos una familia que lleva yendo 3 años seguidos al Halloween de port aventura, pues bien en la noche de los Vampiros esperamos 2 horas y media de cola para entrar en la Isla Maldita, la cola acababa a la altura del Furius Baco, después...Más","14 de octubre de 2019","LA ISLA MALDITA ES UNA TIMADA",5
"25","Hemos ido en Halloween. Todo el parque esta decorado con la temática.
Hay casas de miedo que hay que pagar a parte. Entramos a una y estaba bien, pero nada del otro mundo.
Mejor ir entre semana si se quieren evitar las largas colas. O...Más","11 de octubre de 2019","Genial",5
"27","El parque esta muy bien. Las intalaciones y limpieza de los baños genial. Los precios abusivos respecto a las comidas y bebidas.","10 de octubre de 2019","Muy buen parque precios disparados",5
"28","Exelente como siempre, las instalaciones, el hotel y las comidas.. Solo que las esperas se hacen interminables cuando estas con niños pequeños","9 de octubre de 2019","Vacaciones en familia",5
"30","Port Aventura nunca falla, da igual la época del año que sea, siempre hay algo especial.
Para mi, una de las favoritas es Halowen, es espectacular la decoración y las animaciones tanto para grandes como para pequeños.
Si que la entrada puede parecer un poquito...Más","8 de octubre de 2019","Nunca defrauda.",5
"35","El Port Aventura world es muy chulo, atracciones para todas las edades a poca distancia (íbamos con 3 peques de 11, 6 y 3 años) y todos lo disfrutaron mucho. La comida carísima y de mala calidad. Si llevas carrito no lo checan y puedes...Más","6 de octubre de 2019","Les encantó a los peques",5
"37","El parque y todo su entorno es genial, como único ""pero"" estaría bien que abriesen todas las atracciones aún entre semana, ya que muchas estaban cerradas al ir un miércoles.","4 de octubre de 2019","Un parque genial, muy divertido para todos los públicos",5
"38","Hemos estado 3 días en PortAventura y ha sido espectacular. 
Mi niño ha disfrutado mucho y yo lo he flipado en las buenas atracciones que tiene este parque.
Red force, Furius baco, stampida y Shambhala son espectaculares. 
Sin duda volveremos muy pronto a disfrutar de...Más","3 de octubre de 2019","Vacaciones perfectas",5
"40","Nos hemos echo un viaje de 10 horas para  conocer el parque y la verdad una decepción, hemos ido ayer lunes 30 de septiembre nos han cobrado 50 euros por entrada algo que no era una sorpresa ya que lo habíamos mirado, pero claro la...Más","1 de octubre de 2019","Decepción... ",5
"45","Es la primera vez que he ido al parque y me pareció realmente espectacular; los diferentes mundos y atracciones, las actuaciones, el ambiente... Coincidió con el comienzo de las actividades de halloween y la verdad que pudimos disfrutar bastante. Destacar la actuación de las aves...Más","29 de septiembre de 2019","Espectacular ",5
"47","Sigue siendo el parque que abrió hace años, poco ha cambiado pero veo excesiva masificación.
Hemos coincidido con los espectáculos de halloween y ha sido fantástico.","28 de septiembre de 2019","Muy bien ",5
"48","Un parque de atracciones ideal para todo tipo de edades, disfrutan los pequeños y los mayores. Lo que me parece un robo es el precio de las bebidas y de la comida. Mas de las bebidas porque cuando hace calor , es una necesidad y...Más","28 de septiembre de 2019","Diversión asegurada ",5
"50","Pasamos un día genial! Tiene atracciones para todas las edades, así que todos disfrutamos muchísimo! Sobretodo se ha de traer buen calzado e ir parando para beber agua, ya que es un día muy intenso! Volveremos!","26 de septiembre de 2019","Día genial en família",5
"55","Fuimos a pasar tres días y para mayores está muy bien pero para niños de 2 años no hay prácticamente nada solo parques de toboganes y poco más para sin embargo la entrada si te la cobran si es para niños a partir dev3 años...Más","25 de septiembre de 2019","En port aventura ",5
"57","Íbamos con un niño de 6años y la parte de sésamo aventura es genial. Mi hijo estaba encantado. Ojo hay atracciones que no se puede montar si no mide más de 1.20","23 de septiembre de 2019","Genial",5
"58","Este mes de Septiembre, coincidiendo una época anterior al inicio del curso escolar, y después de la promesa de ir por la primera comunión de mi hija, prográmanos una estancia de una semana en Salou, con entrada combinada 3 días 2 parques para ir 3...Más","22 de septiembre de 2019","Un Parque para disfrutar en familia",5
"60","Un lugar muy recomendable para pasar en familia, eso si niños de menos de un metro solo puedes montar en algunas cosas.
El Ferrari Land y Shambala lo mejor!","20 de septiembre de 2019","Muy divertido ",5
"65","Volví después de muchos años y la verdad que me decepcionó un poco. Me pareció muy caro, sobretodo en bebidas, una caña mediana 4.50€ en vaso de plástico. Justo era el primer día de temporada baja, así q pocos espectáculos, me quedé con pena del...Más","17 de septiembre de 2019","Recordando tiempos",5
"67","Nosotros fuimos el 12 y 13 de septiembre, y muy bien, al ser entre semana no había mucha gente y pudimos disfrutar de todas las atracciones, en algunas repetimos.","17 de septiembre de 2019","Genial",5
