"","textoComentario"
"1","Fuimos a port aventura en familia el 26 de octubre de 2019.
Cuando llegamos al control de la entrada antes de comprar las entradas, nos revisan las bolsas y llevábamos la comida de los niños en un tupper de CRISTAL. Nos niegan el acceso porque...Más"
"2","Después de las colas para entrar a las atracciones de miedo....dentro es otra cola.... Vas en fila y eso no da miedo. Vas viendo cómo asustan al de delante . Deberían dejar espacio entre un grupo y otro. Pero al final vas en fila y...Más"
"3","El más completo de España, he estado en parques de atracciones similares en España y me parece el mejor, voy todos los años y no me canso. La única pega son las colas tan largas que te ""obligan"" a comprar el fast pass."
"4","Visita al parque de 2 días, en fin de semana, para disfrutar de Halloween. Hemos visitado portaventura en varias ocasiones para Halloween y nos ha encantado, siempre nos hemos ido con ese buen sabor de boca y con deseos de volver, en esta ocasión después...Más"
"5","Nuestro segundo parque favorito después de Disney.Era la segunda vez que veníamos pero esta vez más días,ya que la otra vez fuimos uno en verano y no nos dio tiempo a todo,asique esta vez cogimos para tres días y ver los dos parques.La decoración de...Más"
"6","Brutal!! En mi opinión el mejor parque de atracciones de España! Dragon Khan,  Shambala... Tiene atracciones espectaculares. 
Si estás en Cataluña tienes que visitarlo. 
El precio?  Pagué la entrada de dos días por 61 euros,  pero buscando descuentos puedes conseguir algo más económico. 
Cuándo ir?...Más"
"7","Parque temático muy bueno. Parte de Sésamo Aventura muy recomendable para los pequeños aunque le falta algo más de ambientación y personajes para interactuar con los niños. Montañas rusas de infarto y Ferrari Land muy recomendable."
"8","El parque de 10 como siempre si vas entre semana. El sábado ofrecen la isla maldita en el parque acuático. Le han puesto decorados y 10€ la entrada. Los horarios son al añochecer. ,2.30h de cola y eso que te fdan un horario para entrar....Más"
"9","Fuimos en septiembre y justo pillamos el especial de Halloween. 47 euros cada entrada de adulto, mas 55 de la pulsera para no hacer cola, que nos lo podriamos haber ahorrado porque no habia mucha gente. Ademas habia que pagar unos 5€ por cada pasaje...Más"
"10","Hace años que no visitábamos el parque pero aprovechando la ambientación especial de Halloween decidimos volver de nuevo. 
Casi no utilizamos ninguna atracción, pero de haberlo querido hacer habríamos necesitado el fast pass, de otro modo las colas son eternas. 
En cambio, los espectáculos son...Más"
"11","Cuidado con la atracción la Isla mínima, que no os engañen, nosotros estuvimos el sabado 19 de octubre. Té dicen que el horario es de 20:30 a 22:30 que el recorrido es de 1 km y que por si fuera poco puedes adquirir un express...Más"
"12","Las entradas son carísimas y más teniendo en cuenta que estás el 80% del tiempo o más haciendo colas para disfrutar atracciones que Duran uno o dos minutos. La comida también muy cara y las tiendas más de lo mismo. Creo que si no fuera...Más"
"13","Buenos dias! Este mes he sentido lo que en ningún otro parque he sentido,impotencia,rabia,discriminación,y muy poca empatía entre otras cosas,tengo una discapacidad del 39% con la targeta acreditativa que te da la generalitat,entre otras cosas para poder demostrar,sin tener que llevar encima papeles(privados y personales)que...Más"
"14","Fuimos un grupo de amigos con la oferta de halloween escogiendo de lunes a miércoles para evitar las masas que se forman los fines de semana, como pega decir que en ningún lado habíamos visto que los pasajes de terror y la mayoría de espectáculos...Más"
"15","Cogimos la oferta de la web de dos dias en el parque mas hotel y muy bien de precio!
Con lo que pudimos ahorrar cogimos la speedypass que nos mereció mucho la pena ya que con la cantidad de atracciones que hay te daba tiempo...Más"
"16","Ha sido precioso,temática muy detallista,espectáculos preciosos,comida cara para lo que es,colas muy largas los fines de semana,pero deseando volver para navidad,es un cuento de hadas"
"17","Fui con los niños y se lo pasaron genial. El precio de la comida, pensé que iría a ser mas caro pero bien."
"18","Somos una familia que lleva yendo 3 años seguidos al Halloween de port aventura, pues bien en la noche de los Vampiros esperamos 2 horas y media de cola para entrar en la Isla Maldita, la cola acababa a la altura del Furius Baco, después...Más"
"19","Vivo cerca del parque, sin duda es de los mejores de España, las atracciones son muy buenas y dan ganas de repetir. Lo peor de este año el Halloween... casi todo lo mismo del año pasado sobretodo los espectaculos, y por una cosa nueva que...Más"
"20","Hemos venido la familia a pasar unos días, el hotel el paso más que aceptable para ser un 4 estrellas, eso si, el buffet del desayuno buenísimo y la gente muy servicial. Mucho cuidado con la entrada a ferrari porque vinimos 3 días y no...Más"
"21","Hemos estado 3 días, 2 de los cuales había poca gente y pudimos montarnos en todas las atracciones sin hacer muchas colas, sin embargo el tercer día era un festivo, se llenó hasta los topes y solo nos pudimos montar en 2 atracciones. 
La montaña...Más"
"22","Hemos pasado un día más o menos agradable, quizás más por el tiempo que ha hecho, ya que no hacía calor y tampoco ha llovido , que por el parque en si.
El precio de la entrada sinceramente muy caro, ya que te tiras un...Más"
"23","Hemos ido en Halloween. Todo el parque esta decorado con la temática.
Hay casas de miedo que hay que pagar a parte. Entramos a una y estaba bien, pero nada del otro mundo.
Mejor ir entre semana si se quieren evitar las largas colas. O...Más"
"24","Es una apuesta segura con niños ,, nos alojamos en el gold river y fue todo perfecto ,, 
El parque es muy bonito está todo cuidado al detalle,, el personal tanto del hotel como del parque es muy amable y agradable ,,,volveré siempre que pueda...Más"
"25","El parque esta muy bien. Las intalaciones y limpieza de los baños genial. Los precios abusivos respecto a las comidas y bebidas."
"26","Exelente como siempre, las instalaciones, el hotel y las comidas.. Solo que las esperas se hacen interminables cuando estas con niños pequeños"
