"","textoComentario","fechaComentario","tituloComentario","puntuacionComentario"
"1","No merece la pena comentar lo que es obvio sobre esta curiosa obra arquitectónica y de culto. La entrada con audioguía (concisa e interesante) bastante pasada de precio. Volveremos para comprobar si han llegado a terminarla en 2026.","27 de octubre de 2019","Hay que entrar al menos una vez.",4
"7","no pude entrar porque había entrada para un horario que no podía ir, pero verla de afuera es increíble, de igual manera.","25 de octubre de 2019","increible",4
"11","Una hermosa e imponente catedral.La recorrimos con autoguia y fue una excelente visita. La arquitectura es maravillosa, aunque siguen edificando ( calculan finalizarla para el 2026 ) es impactante lo que ya hay. Visita imperdible","24 de octubre de 2019","Imponente !!!",4
"17","si bien es una obra de Gaudi que es de visita obligatoria, me sorprendio el espacio de luz que se genera en su interior","22 de octubre de 2019","espacio de luz",4
"21","La sagrada familia obra cumbre del genial arquitecto visionario A Gaudi es visita obligada en Barcelona, en esa extraordinaria obre, inconcluss se Aprecia la genialidad del autor y su visión futurista","21 de octubre de 2019","Obligada visita",4
"27","Es un lugar espectacular, se debe ir con tiempo suficiente para visitarla y disfrutarla. Recomiendo el uso de audioguia para comprender cada espacio de este lugar maravilloso","20 de octubre de 2019","Hermosa!!",4
"31","Es un lugar mágico, vale la pena visitar la Basílica. Recomiendo comprar el pase con audioguía, enriquece muchisimo la visita.","19 de octubre de 2019","Increíble! ",4
"37","Para los que nos visitan a Barcelona es una parada obligatoria, es espectacular por dentro y por fuera. Sus vidrieras, el altar las escaleras a las torres, es todo un espectacula. Súper recomendable","17 de octubre de 2019","Fascinante",4
"41","No puedes dejar de visitarla si viajas a barcelona.
Una maravilla.
Hay que verla.
Las nuevas formas de construccion contrastan con las antiguas dandole aun mas esplendor q la obra.","16 de octubre de 2019","Espectacular",4
"47","Esta Basilica a la vista es muy impresionante, esta en construccion aun pero vale la pena verla ahora y volver si tengo vida ysalud una vez que este terminada dado a que me traigo muchas fotos de su estado actual y quisiera verla construida en...Más","14 de octubre de 2019","1ra. Vez en Barcelona.",4
"51","Nos tocaron las entradas para las Festes de la Mercè, u pudimos disfrutar mucho del interior, de las espectaculares vidrieras y de las nuevas torres de los apóstoles.","13 de octubre de 2019","Sagrada Familia",4
"57","Es muy hermosa, pero se debe reservar las entradas con tiempo, el fin de semana es un caos muy lleno desde las 9 am por lo que si puedes entre semana será mejor, pero reserva tu entrada por internet con tiempo","12 de octubre de 2019","Joya arquitectónica",4
"61","Sin duda que esta catedral es extraña por donde la mires. Gaudí un genio. Pensar que lleva más de 100 años su construcción y aún no termina .","11 de octubre de 2019","Impresionante ",4
"67","Compré un ticket que incluía audioguía por 31 euros a través de tictactickets. Por razones ajenas a mi voluntad tuve que adelantar mi partida de Barcelona asi que solicité a la empresa que pudiera reagendar la fecha de mi visita o en su defecto reembolsarme...Más","10 de octubre de 2019","Me siento estafado",4
"71","No soy fan de Gaudí pero cuando entré a la Basílica a las 6:15 de la tarde simplemente me quedé impactada. No importa si no eres católico, el templo guarda una atmósfera de espiritualidad para todos. Los detalles por admirar son incontables y cada ángulo...Más","9 de octubre de 2019","Impactante",4
"77","Excelente ocasion para vivir las maravillosas vistas desde las torres-La basilica con las columnas y el techo decorado con laminillas de cerámica y la luz que inunda la misma es una autentica preciosidad.","9 de octubre de 2019","Formacion cultural",4
"81","Espectacular, vino familia de visita y fuimos a ver-la, el unico fallo es que hay que hacer mucha cola para entrar y los peques se hartan, la proxima vez miraremos de entrar con un grupo que parece que esa parte tiene mucha menos cola","9 de octubre de 2019","Preciosa",4
"87","Visita imprescindible para todos los amantes de la arquitectura. Se trata de un monumento único que esconde muchos secretos de carácter simbólico.","9 de octubre de 2019","Espectacular",4
"91","Es una arquitectura fuera de otro mundo, sin duda una belleza histórica, pero una vez la conoces no vale la pena volver.","8 de octubre de 2019","Impresionante",4
"97","Si o si hay que reservar antes de ir (de lo contrario es imposible entrar, es un mundo de gente). En la pag. oficial hay opciones de entrada sola, entrada+audioguia, entrada+guia. Entre estas ultimas 2 opciones habia 1 euro de diferencia. Tome la opcion de...Más","6 de octubre de 2019","Impresionante",4
"101","Cada vez que voy a Barcelona, me acerco a la Sagrada Familia. Pero no se porque. No me conmueve en absoluto. Podría decir que me asombra su volumen, lo recargada que es... pero nada mas. Es una cuestión de gustos.","4 de octubre de 2019","No me termina de convencer",4
"107","Espectacular arquitectura!! Es el principal atractivo a visitar en Barcelona. Muy recomendable tomar la audio guía, subir a la torre de la pasión y comprar los tickes con más de un mes o dos de anticipación.","3 de octubre de 2019","Espectacular ",4
"111","Si vas a barcelona no puedes faltar a la sagrada familia, es sorprendente fuimos en tren y al salir y encontrarnos con majestuosa arquitectura quedamos plasmados.","2 de octubre de 2019","Hermoza arquitectura",4
"117","La visitamos por fuera es hermosa, la entrada es cara y no sé si se justifica, cómo el tiempo era poco decidimos no entrar","30 de septiembre de 2019","Viaje",4
"121","Como cualquier cosa de Antonio Gaudi es una pasada. En Barcelona tenemos varias obras. Lo triste es que no se si esta la voy a ver acabada.","29 de septiembre de 2019","Brutal",4
"127","Uno de los must de Barcelona. No se puede dejar de ir y disfrutar. Para impresionarse, maravillarse y disfrutar cada segundo de la visita.","27 de septiembre de 2019","Increíble!",4
"131","Una excelente visita e imprescindible para los amantes del arte y de la obra de Gaudí. Una obra de arte de exquisita belleza que es imprescindible ver como mínimo una vez en la vida.","26 de septiembre de 2019","Excelente visita",4
"137","Imperdible!!! Recomiendo ir con guía así pueden explicarles toda la arquitectura de la sagrada familia","25 de septiembre de 2019","Hermosa",4
"141","No hay demasiado que decir, simplemente esperaba algo más.
Es caro, y siempre te lo intentan vender como una de las cosas más alucinantes pero luego al final es una decepción en la mayoría de sus sentidos","24 de septiembre de 2019","...",4
"147","Es un monumento que no te cansas de ver, preciosa arquitectura  interior y exterior. Lástima que no se termine en la parte iniciada.","22 de septiembre de 2019","Extraordinaria ",4
"151","Vale la pena ver la Basílica por dentro, los vitrales son lo que más llama la atención, los colores y las luces que producen según donde te pares es lo más destacable a mi juicio, de noche ofrece su majestuocidad en esas cúpulas iluminadas, realmente...Más","22 de septiembre de 2019","Maravilloso",4
"157","Al entrar la primera vez y mirar su cielo, es una experiencia sobrecogedora, el modo como entra la luz es alucinante. Luego tenemos, las columnas con forma de arboles para darle apariencia de bosque, simplemente genial.","21 de septiembre de 2019","Sobrecogedora",4
"161","Esta obra maestra de Gaudí es imponente por fuera, completamente distinta a cualquier basílica. Una ve dentro es espectacular el juego de luces conseguido con la entrada de sol a través de las vidrieras. Las columnas, impresionantes, majestuosas alzándose hacia un techo que parece infinito....Más","21 de septiembre de 2019","Impresionante",4
"167","La arquitectura de la Sagrada familia te deja si. Palabras. Imperdible si vas a Barcelona. Eso sí, hay que comprar los tickets con antelación, en caso contrario puede ser que te quedes x fuera","19 de septiembre de 2019","Que lugar!!! ",4
"171","En Barcelona realicé la visita casi imperdible de la Sagrada Famila y por no saber saque ticket por internet de las agencias conocidas que ofrecían “entrada rápido acceso sin realizar fila”. Es un gran engaño!!! Al llegar con tu ticket realizas la fila que corre...Más","18 de septiembre de 2019","Sacar ticket oficiales!",4
"177","Pera mi fue como entrar en un cuento de hadas. Yo no tengo los suficientes adjetivos para describirla. 
Creo que todos deberian de visitarla. 
Yo seguro que repito","17 de septiembre de 2019","Sin palabras",4
"181","Una de las mayores obras del Mundo, es espectacular por fuera y por dentro, merece la pena conocer esta maravilla.","16 de septiembre de 2019","Un espectaculo",4
"187","sacamos entrada con guia... la basílica es  una experiencia personal, no hay otra igual (no soy catolica) pero excede la religión y habla su arquitectura. Quiero destacar el entusiasmo que  puso en todo momento el GUÍA MARCEL, espero lo lean sus jefes, PUSO TANTA PASIÓN...Más","13 de septiembre de 2019","BELLISIMA - Y MIS FELICITACIONES AL GUIA MARCEL",4
"191","Hemos estado aquí hace unas dos semanas. Este lugar es muy muy hermoso. Increíble ambiente, edificio. El programa de audioguía es muy útil y tenemos mucha información nueva.","13 de septiembre de 2019","Audio guide",4
"197","Encantado, recomiendo que visiten la Sagrada Familia, es algo espectacular... sobre todo la atencion","11 de septiembre de 2019","Encantado",4
"201","Sin aliento me quedé al pasar las puertas de la Basílica, no esperaba encontrarme tal maravilla de arquitectura y luces. Por más que me habían contado y había visto fotos es inimaginable el espectáculo que es estar dentro. Cogimos la visita guiada, y estuvo fenomenal.","11 de septiembre de 2019","Una maravilla imprescindible!!",4
"207","La había visitado hace 38 años, me había gustado. Punto. . Ahora volví y me maravilló. La catedral De Santiago de Compostela te atrapa por el misticismo religioso. Esta te atrapa por el misticismo de la arquitectura, si vale la expresión.","10 de septiembre de 2019","Emocionante",4
"211","Incrrible obra de arte,un adelantado a su epoca. La obra de un genio. Un monumento impactante. Increible. Hay que verlo.","9 de septiembre de 2019","Esplendida,obra de arte maravillosa",4
"217","Los domingos hay misa internacional a las 9 y pese a que implica madrugar y hacer cola me ha encantado. Es un lugar tan especial que vivir una misa es un experiencia impresionante como creyente. Enhorabuena porque está fenomenal organizada y te puedes sentar y...Más","8 de septiembre de 2019","Imprescindible ",4
"221","La Sagrada Familia es un lugar mágico y evocador. Recomiendo reservar en línea para evitar demasiados boletos","7 de septiembre de 2019","Hermoso pero reserva primero",4
"227","En el interior se puede observar una amplia gama de luces, colores, contrastes y una columnas que parecen arboles de piedra","6 de septiembre de 2019","Luminosidad",4
"231","La arquitectura de la basilica de la Sagrada familia es una obra maestra por fuera e insuperable por dentro. Para disfrutar de sus vidrieras recomendable visitarla durante las horas de sol, ver su reflejo es un gran espectaculo","5 de septiembre de 2019","Excepcional e inmejorable",4
"237","Esta basílica se merece un 10 es muy linda me impresionó demasiado, gracias gaudí por crear algo tan bello .","4 de septiembre de 2019","Me emociono !!!",4
"241","Tienes que llegar muy temprano para poder entrar. La entrada esta como en 28 o 30 euros un poco cara para mi gusto. Yo no entre y solo tome fotos por fuera desde varios ángulos. En el frente tiene unos bloques de concreto para que...Más","4 de septiembre de 2019","Esta impresionante desde que la ves de lejos...",4
"247","visita ineludible! vale la pena hacer cola y pagar aunque hay que intentar evitar las horas de máxima afluencia de turistas par poder centrarse mejor el las cualidades arquitectónicas y espirituales. es una maravilla pero no hay que olvidar que también es un templo. en...Más","4 de septiembre de 2019","fantástica",4
"251","A pesar de que es un edificio aún inacabado, impresiona por sus dimensiones, por la luz que entra en la nave central, por las columnas en forma de troncos de árbol, los colores que dan las vidrieras al interior... nada que se parezca a cualquier...Más","4 de septiembre de 2019","Distinto a cualquier otro edificio que hayas podido ver antes",4
