"","textoComentario"
"1","No merece la pena comentar lo que es obvio sobre esta curiosa obra arquitectónica y de culto. La entrada con audioguía (concisa e interesante) bastante pasada de precio. Volveremos para comprobar si han llegado a terminarla en 2026."
"2","Impresionante e imperdible atraccion emblematica de Barcelona. No espere visitarla al estar terminada ya que por diversos intereses oscuros eso no
Ocurrira en decadas , tal
Vez nunca,,, vaya ya!"
"3","Visita 100% recomendable. Hay que ver esta pieza arquitectónica sin duda. Es algo difícil de describir con palabras. Es un lugar maravilloso."
"4","Espectacular... es la obra que nunca termina y nunca terminará,su historia es impresionante y digna de admirar."
"5","Un respiro de emociones y paz indescriptible...
Si vienes a Barcelona, no pierdas la oportunidad de verla...vale cada € que inviertas!"
"6","El personal muy borde te obligan a comprar la entrada por adelantado, suerte de la gente del hotel que nos informó. La catedral muy bonita pero aún en construcción."
"7","no pude entrar porque había entrada para un horario que no podía ir, pero verla de afuera es increíble, de igual manera."
"8","Lugar obligado para conocer en Barcelona, es impresionante la Basílica de la Sagrada Familia, lugar muy concurrido."
"9","Gran icono de barcelona. En temporada de vacaciones hay mucho turista y aparte de que pagas para entrar, pero si quieres entrar gratis son los domingo por la mañana en misa. En general para pasar el rato hay varios restaurantes alrededor."
"10","Si a uno le gusta la arquitectura en una ciudad no deje de visitar la Sagrada Familia, la considero espectacular, obra de una mente genial, diferente. Nada de lo que verá lo encontrará como en otras iglesias. Recomiendo sacar entradas con antelación y evitar de...Más"
"11","Una hermosa e imponente catedral.La recorrimos con autoguia y fue una excelente visita. La arquitectura es maravillosa, aunque siguen edificando ( calculan finalizarla para el 2026 ) es impactante lo que ya hay. Visita imperdible"
"12","Si vas a Barcelona no dejes de visitarla. Recomiendo sacar las entradas anticipadamente por la web para poder asegurarte dia y horario. Y ademas que no sea muy tarde el horario porque cuando empieza a oscurecer no se puede apreciar tanto."
"13","La Sagrada Familia es la obra culmine de Gaudí, y sin visitarla y entenderla, estaría incompleta la visita a Barcelona ya que en gran parte esta fue diseñada por el mismo. Con audio guía la visita es muy completa, ya que explica tanto las fachadas...Más"
"14","El solo hecho de verla desde afuera y detallar toda su fachada es algo espectacular. Estaba acostumbrado a ver catedrales con estilo neoclásico pero esto es de otro orden en el estilo modernista catalán. Todavía está en construcción y es la segunda, mas visitada después...Más"
"15","El mejor reclamo de Barcelona. Una joya arquitectónica única. Se aconseja ir en metro, ya que aparcar en la zona es imposible. Es caro entrar, la verdad."
"16","Seas o no un fanático de la religión o de la arquitectura este es un paso obligatorio por la ciudad de Barcelona. El edificio es imponente, muy bonito aunque esto es subjetivo. El tour auto guiado es muy completo. Compramos las boletas de entrada con...Más"
"17","si bien es una obra de Gaudi que es de visita obligatoria, me sorprendio el espacio de luz que se genera en su interior"
"18","Realmente vale cada peso pagado, impacta, es enorme, majestuosa, hay control de seguridad para entrar pero es ágil, recomiendo comprar las entradas por internet para evitar colas y además ir en la tarde después de las 16 hs para poder apreciar la iluminación natural cuando...Más"
"19","Ciudad fuera de control. Peligrosa, sucia y tomada por el nazionalismo. Evitar. Los manifestantes lanzan piedras a todo el mundo y no hacen distinciones. Les da igual policias, que niños o turistas. Un infierno."
"20","La mejor catedral que he visitado. Merece la pena hacer una visita por dentro hasta arriba y mirar toda la vista hacía el mar."
"21","La sagrada familia obra cumbre del genial arquitecto visionario A Gaudi es visita obligada en Barcelona, en esa extraordinaria obre, inconcluss se Aprecia la genialidad del autor y su visión futurista"
"22","El templo es impresionante, lo mejor es acceder a él, ya que el interior es mejor que el exterior. Merece la pena"
"23","Realmente recomiendo a todo el que viaje a Barcelona no perderse ir a la Sagrada Familia. Nosotros contratamos la visita guiada y fue excelente, hay cosas que si no te las explican no sabes que significan y es realmente deslumbrante. Para mí fue de lo...Más"
"24","Es de visita obligada. Realmente es impactante! Nosotros fuimos cerca de las 17 hs donde el sol ilumina la Basilica con colores impresionantes!"
"25","Me habian contado que era grande pero aun asi no me la esperaba tan grande. En medio de la ciudad, de viviendas y comercios hay un parque y detras está ésta maravilla."
"26","A pesar de estar sin finalizar, es una de las construcciones que mas me han impresionado, n tanto por sus magnitudes o altura, sino por su diseño, su originalidad en sus soluciones arquitectónicas. Hace pensar que Antoni Gaudí era a la arquitectura lo que Leonardo...Más"
"27","Es un lugar espectacular, se debe ir con tiempo suficiente para visitarla y disfrutarla. Recomiendo el uso de audioguia para comprender cada espacio de este lugar maravilloso"
"28","Espectacular sin más .es una visita obligada si vienes a barcelona.no puedes irte sin verlo ,muy recomendable."
